URL,본문,좋아요 수,좋아요 수(만 단위)
https://www.instagram.com/fcbarcelona/p/DJhQonBs5B1/,EL CLÁSICO IS BLAUGRANA!!!! 💙❤️,5160000,516만
https://www.instagram.com/fcbarcelona/p/DJhUuUWMuFo/,💙 FAMILÍA BLAUGRANA ❤️,2118000,211.8만
https://www.instagram.com/fcbarcelona/p/DJhR6fCoceE/,"It’s cold at the top 🥶

A dos punts de ser campions 🥇
7 puntos de ventaja. 9 puntos en juego.",2072000,207.2만
https://www.instagram.com/fcbarcelona/p/DJhmvHbuRCN/,"Iconic visit for an iconic game 💥

🫶Thanks for the visit, @terrycrews & @thierryhenry",1775000,177.5만
https://www.instagram.com/fcbarcelona/p/DJhLVDmsdR7/,Goal Ryan. 😜,1647000,164.7만
https://www.instagram.com/fcbarcelona/p/DJhdmlZs0iC/,Greatness meets the future.,1641000,164.1만
https://www.instagram.com/fcbarcelona/p/DJhSfWZoy6I/,"Highest in LaLiga 🪜☁️🏆
@spotify @travisscott 🌵",1569000,156.9만
https://www.instagram.com/fcbarcelona/p/DJhImRhMg7k/,El sentiment per aquest escut és únic 💙❤️,1551000,155.1만
https://www.instagram.com/fcbarcelona/p/DJhYXSbs0Ii/,FORÇA BARÇA ❤️‍🔥,1300000,130만
https://www.instagram.com/fcbarcelona/p/DJhHv05MJGl/,The Barça Mission. 🥶,1133000,113.3만
