URL,본문,좋아요 수,원본 텍스트
https://www.instagram.com/fcbarcelona/p/DJhQonBs5B1/,EL CLÁSICO IS BLAUGRANA!!!! 💙❤️,5147000,좋아요 514.7만개
https://www.instagram.com/fcbarcelona/p/DJhUuUWMuFo/,💙 FAMILÍA BLAUGRANA ❤️,2105000,좋아요 210.5만개
https://www.instagram.com/fcbarcelona/p/DJhR6fCoceE/,"It’s cold at the top 🥶

A dos punts de ser campions 🥇
7 puntos de ventaja. 9 puntos en juego.",2062000,좋아요 206.2만개
https://www.instagram.com/fcbarcelona/p/DJhmvHbuRCN/,"Iconic visit for an iconic game 💥

🫶Thanks for the visit, @terrycrews & @thierryhenry",1743000,좋아요 174.3만개
https://www.instagram.com/fcbarcelona/p/DJhLVDmsdR7/,Goal Ryan. 😜,1634000,좋아요 163.4만개
https://www.instagram.com/fcbarcelona/p/DJhdmlZs0iC/,Greatness meets the future.,1628000,좋아요 162.8만개
https://www.instagram.com/fcbarcelona/p/DJhSfWZoy6I/,"Highest in LaLiga 🪜☁️🏆
@spotify @travisscott 🌵",1561000,좋아요 156.1만개
https://www.instagram.com/fcbarcelona/p/DJhImRhMg7k/,El sentiment per aquest escut és únic 💙❤️,1545000,좋아요 154.5만개
https://www.instagram.com/fcbarcelona/p/DJhYXSbs0Ii/,FORÇA BARÇA ❤️‍🔥,1289000,좋아요 128.9만개
https://www.instagram.com/fcbarcelona/p/DJhHv05MJGl/,The Barça Mission. 🥶,1127000,좋아요 112.7만개
